Comment,Toxic
fasla rkhain baad me apki hazaroon majbooriyan nikal ati hain,1
muhabbat bs shuro ho hi jati ha hr ksi ki story ka start different hota ha,1
ni ap ki sohbat ka asar ni ma apni wifi se kutt ni,1
ye kia bat hui ab me ja ra to tm ja ri huh,1
bta do,1
mr chips to syllabus sey nikal ni diya tha,1
lol ap hmare muashray ko tabah krna chahti hain ap shayd lahorism ka shikar hain baqi teams khailne ni ati kya jeet uski hoti hai jo acha khailta hai jiske muqaddar me jeet hoti hai,1
par aese ni kbhi kia na ho jhoot mat bolna ab ni kia,1
buahahhaha bs kabhi garoor nahi,1
agar mai larki hota aap ka dm bhara hota mairai messages sai too good bro,1
you need to research how many lands islam invaded in the years after the hijra,1
is robot main thori settings change kr len takay wo automated reply say pehlay inbox dekh lay,1
rt eating pancit canton alone is so bc know wala ka kacompetition hahhaaha,1
but aap kya kar rahe punjab sath caption hum par thop majboor kar diya delhi mein from all job guys who works here last years,1
london walo ko bula lain janab ek dafa,1
apne kya ha google translate,1
tum logon ki takleef baja ha tumhari dum pe sheeerrrr ka paaon aa gia ha,1
ik ko girany liye ye sb bar gir chuky hain bar mazid giren gy,1
aisa nai hota bhai is gen ko mj jese hunnihar teacher ki zarurat,1
congrats allah mazeed kamyabian day or aap apnay nikay putar ki khushian daikhain sari life ameen,1
happy burfda ap party hard ha oga,1
allah pak apki ezaat chadar ki haq fazat kry ameen,1
shehbaazparas tere night suits itne famous hai na sb poochte hai ye kaun satrangi sa banda aya hai punjab dekhna tha na paras ko dekh le shehnaazgill,1
kon ziada jhoot bolta hay or sach batna,1
jin jaane se jati thi jaan humne unko bhi jaaty huwe dekha,1
bhai ye sab kaise hojata hai,1
ye mjy nani keh rhy,1
main thk hu aisy ankhain phar phar kr kya dekh rhi,1
acha hum un ma to nahi ha na,1
bright sab right kar de ga,1
kasam se mujhe lagta tha tareekh parhne waale bare qabil empathy rakhne waale loug hain phir humain hamari professor aik yahodi ki book talk pe le gaye wou itna parha likha insaan jis ki kitaab harvard publish kr raha tha usne puri kitaab muslim ko bura kehne liye likhi,1
ary han forver ka option tha,1
they need akhrot,1
ye kisi ke talent ki iajjat nahi karte kabhi isiliye aap kisi aur field me lag jao,1
muslims around the world have to fight for islam quran namoos risalat for their land kashmir palestine we are supposed to fight these yahoodi nasara hindus cant be our friends jihad norway ilyasheroofmuslimummah,1
saal purani batn kr ap gumrah mat kren logon ko asal bat kia thi na wo koi ni janta na ap wahan or thi na hum,1
nh mrtian bm nh marta koi isy kha kr,1
jo ap mere jazz ko tang kr rhi hai nah sadda jazz love,1
khana,1
haha gao rakshak hm bolte ni kr dikhate hen ye days bht zeada hen ye minton ki game dhamki jo de raha usko kaho chlae bomb phr nikalna kaha se ghusana kaha pe ghusa marna kaha hm pe chorh do,1
koi mery tweet bhi like kar koi follow kar lo gareeb ka bacha ho,1
ahu ahu per chief minister nahi wo dgisi banney ki safarish ker raha tha dobara check karo,1
aurat ko azadi nh aurat ko rights chahye or yh wo baat js mn male women ko support krty hn what cheap agend behind all this azadi march auratazadimarch,1
baji aisa kia main na kah diya,1
kaafir hai to shamsher pe krta bharosa momin ha to betegh hi larta ha sipahi dr allama muhammad iqbal,1
num hee nhi dy rahi aas ley ap sy request ki,1
wesse idr kafi ho gai fog mny abi dbra dkha tarrace pr ja ke,1
agreed but you have to take the point controversy just like you mentioned him daku proof to ap pas nai mgr zuban zadd am bat hy to keh di ap ny same like ritchie ny mention kia aisi baten suni gai hain leave this now,1
ab followers any chaiye,1
weldone khawaja sab,1
tu ham konsa kaafir hain kehny say koi kaafir tu ni hota her insaan ko allah nay deen fitrat pay paida kiya hai,1
angreez bazorgon ki bilkul izzt nhi krty newton aur ainstyn hmry haa hoty to un ka bhi salana ors hota,1
lol can you tell me phir sarfraz sath aapky hi door me ziadti hoti rahi aap khud to casino me pohnchy hue thy team haarti rahy selection ki baat na karain to acha azam khan team me or saud shakeel team sy out beghair khely agar yh insaf hai to nhi chahiye humain,1
haha wo phr bhi bdal jai ga,1
golimaaro saalo ko narrative banane ke liye left ki nai sazish,1
manhoosiyt lee jaen yahan se,1
ary pagal ayse hum bhi krty but kisiko hum kbhi phla msg nhi karein gy,1
apke wrong number lge hone ha,1
nicknames of my friends are quite unique saddiqui,1
allah rhm kry un prbht afsos ha sb kitny be hiss log hain koi kuch kyun nhi krta wahan logon lye insanyt bhi koi cheez hoti,1
dont be scaredap un negative dikhane ko positve lo shehbaazonfire,1
kuch log rishto ko apnate km aur azmate ziada hein,1
dil kisi se tab lagana jab dilo ko parhan seekh lo har ik cheray ki fitrat me wafadari nahi huti,1
tum ny bhi dekh hi li,1
aisa hota hai leader weareshaheersialvi,1
zeenahindarega dallali se,1
hahaha pehli dfaa ciggerate peete dekha kissi,1
apko appointment letter mil jayega jab to khud waha ja kr un sy bat kr lijiyega,1
please mat jaowrna bura wakat jae,1
aap don,1
mam jism allah ka us nay banaya khubsoorti say wo khud quran may kehta ha yeah ebadat leaye ha but yeah women kehte ha apna khana khud garam karo or tumhra khana garam kar dia ab buster khud garam karo werejectmerajismmerimrzi,1
ek musalman hi dusre musalman ko marta hai jha be dekh lo sunni shiya ahmadiya yajadi or na janane kitne hi yai ek dusre ko marte rahte hai hindustan hi aisi jagah hai jha musalmano firke ek sath rah sakte hai fir be yai yha jihad failane ka kam karte hai,1
rt rameez the incident took place in rotterdam in october not yahodi kay karnamy,1
pata nhitumahary to bohat sary friend shongyebunsy kar lena,1
mediastayunbiased wo maan nai rha tha mujhe insaf dilane liye akhir thak har kar me ne apni jaib se hazar ka note nikal kar jaldi se un ke hath me thama dia sir plz ab to mera kam kar jaib me daal kar jaldi se mobile se fone krne lag gya,1
shaid aap ulta likh gaye hain,1
gajar for eyes dimag ke liye akhrot aur sanjay raut ke liye dua isse dawa nahin dua ki zaroorat hai ab,1
why you are taking so much interest in us iran conflicts kisi israeli yahoodi ne nazrain rakhny ka bola hy,1
zara noor mera jism mere marzi ko support karti hai,1
god khan sab,1
there was this dialogue in todays episode of alif where momina said aurat hoti to shayad bhatak jati maa nahi bhatakti and bam thats the difference btw alif and mere pas tum ho alif,1
rt pak army is all courtjudge and executioner they hanged brig raja rizwan on alleged spying real reason he was shia muslim,1
hm maths walay,1
nhi apk haqeeqi kirdar koi kuch nhi keh raha bs meri ek choti bat ka jawab dy den wo ye keh es daramon or filmon sy hamari new generation ko kia sabaq mily ga bacha bacha mery pass tum ho ko ly mutasir he,1
rt bhai hum sab kaafir hai,1
no one superstitious pakistanis black friday yahoodi saazish hai,1
zada use nhi krti twitter is liye,1
fit aap bataein,1
sahi boli hai sana bandi mast hai ye fightabacksana,1
aj kl barishen ho rahi hnis lyea phisalta ja raha ha hahaha agree to you dear,1
hahaha very hasna tha kia when will you guys improve your sense of humor by the way just same kind of lame senseless thandi chuss every single,1
ye wohi molvi hy jis se milne baad qandeel qatal hui the hareemshah,1
your tweet shows that qadianis are really kaafir,1
wha bhai bhot khub ye shero shayri chod kam dhanda kro ap pr bi pesa mrega,1
jis jis ko year main joosh charha ha mulk ki voluntarily khidmat karnay ka wo aram sy ghar bethain humain proper history tak leni nahi aati pandemic fight karnay chalain hain dont be burden to trained doctors there they already dont have enough ppes they dont need you,1
ek tha charsi bhatti jamati got him to drop chars and help in the ways of god everyday before prayers ameer of jamat would say ye bhatti hai purana charsi tha ab nahin tees din baad bhatti kehta mein charsi tha tu log jante the jamat mein aa ker poora mohalla janta hai,1
inshallah apko mile ga but keep on doing what you are doing with commitment and dedication,1
faasla rakhen baad mai ap sey koi kaam hota nahi hai,1
me ny apko so dia ap inko do chlo shabash,1
heheh tere,1
look whos talking the one who is infamous of commiting genocide in pakistan against its ethnic minority with an intent to make the islamic state sunni majority state completely through ethnic cleansing of hindus christians sikhs shia ahmaddiya,1
bat sunomuje ap se ek kam,1
mujhe jeena hai to murnay liye jeene,1
phir begam kalsoom nawaz ki dafa kaha gae thi ye gherat tm logn ki jb wo mar rae thi aur tm log kehte the drama hai ye sb,1
funny krty waqt kuch to waznka khayal kro idi ty mj da nai,1
behna sab ke apne chonchle hote hain bss banda apna point of view bataye aur side pe beth jaye behs main aksar log zatiyaat pe baat karte to phir at the end galam galoch hota to ziada behs se avoid hi kare banda,1
han bahut achha insaan tha vo,1
his father law is not an ahmedi none of his close relatives is ahmedi this lie was spread by pml who when they were about to announce next coas starting spreading this lie to keep bajwa in auqat but it backfired badly coas qamarjavedbajwa ispr,1
bhai kuch aor posts,1
banana tu ata ha pr watermark krna nhi,1
akhrot ka to pata nahi but hamare yaha thand me mungfali jarur ban jati hai,1
didnt feel like is that song of cricket league or bhngra for marzi ha asimazhar apna bhi yh krna tha tayyarhain,1
washington ma international womens day aur pakistan ma aurat azadi march,1
isb to haveliyan motorway hai ab,1
aadmi baap hota hai bhai hota hai pati hota hai dost hota hai beta hota hai aur jo kuchh nhi hota to vo rapist ban jata hai hanghyderabadbrutes,1
to aap film krly un sth,1
ab dar hu ye dubara pakistan min na dakhil ho jay,1
his father law is not an ahmedi none of his close relatives is ahmedi this lie was spread by pml who when they were about to announce next coas starting spreading this lie to keep bajwa in auqat but it backfired badly coas qamarjavedbajwa ispr,1
mar he jay gy ak din tery bol sehty,1
woe hota jo manzoor khuda hota,1
yahoodi or christian main farq hai or kia christian aurat say shaadi karnay ki ijazat hamara mazhab nai deta or wo diesel jo islam kay naam par siyasat karnay wala khuda uska injam behtar janta hai behn baat karna say pehlay soch lia karain yeh unglion par qaboo pana shekhain,1
tum nay board ma top kyea huya hai,1
mzak kia tha,1
chinki tu bahout bdl gyi hai rey,1
ye sab boot walo itehadi hain,1
excuse me shes her manager nidhii please atleast kisi emotions ka toh mazak mat udao,1
sb jante sir hum punjab ke log apke sath he,1
mard bohot hi pyari cheez hay ap uski aik suno woh apko apne baap ka maal samajh le ga,1
main bhi apne gf ko yehi bolta support our starboy asimriazforthewin,1
mansoor ali khan khilaf baat kernay per aap ko block kya jata hai aap ko pmln dost dushman ke pehchan nahin,1
ya allah ham tamam musalmano ko yahoodi ejant banny sy bacha ya allah hamien seedah rasta dikah ya allah ham tamam musalmano ko hedayt dy ameen sum ameen,1
happy birthday allah pak aap ko seht tandrusti wali lambi zindgi ata farmae aur aap ise tarah hansti muskraati rahen aameen,1
esay cooking kartay kartay kitna dil karta hay na kay masala channel pay apna show hona calls aen or sabhi tareefein,1
ya deen ka karobar karnewale jinhoon ni khan ki pheli sharikehayat ko baghi kia yahoodi yahoodi kah kar,1
degree kis kam kihumary pas koi nokarya nahi haihasi khushi ki zindagi sirf khahanyo mein hotii,1
as singer ap muje bohat psand the per ik ki mukhlfat me ap andhey ho ker jo ap keh rahe ap dil se utar gye jawad bhai,1
kha show hota vote ka muje pta ni,1
got follow request on linkedin from my office crush khush hona chahiye kya mitron unko dekh ke maine khud ko pehle hi reject kar diya hai waise small happiness of life,1
kay mera comsats ma ho gia tha or bhai nay ni anay dyea lkn wo khud gcuf say phara hai,1
haan haan amma jb ek maar dain gi dusra jhoota mai laa kr doon ga,1
main toh soti hi nahi,1
yar main nay to ab tak dm bhe ni kia kisy ko bhe,1
is ne is tweet pe kitne dollor lagaye hoo ge,1
iska kia mtlb hota,1
no one chemistry wale sir ye mdcat ka mcq hai,1
tum ache banke tow dekho duniya kese hrami ban jaati hai,1
gauahar khan meri fav thi mera jo fav hta win,1
me ny to suna tha wo apko dhoond rhy hain,1
bs social media se off ho rhi kuch time liye need break,1
na agey kam batain hain jinki waja dhoondi hain my ny jo ab ye bhi pta karon ky neend ko kia judai char gai hy mujhsey,1
imran khan yahodi agent nahi,1
pic tu thek laga lo dgispr,1
mian shahbaz sharif documents mutabiq main un bap pas kuch bhi nai tha baht gareeb thy sir dono mian sahib nab satatement parh lain farq samjh jay ga mari london to kya pakistan main bhi koi jaidad nai jaidad to sari qatri badshah ki,1
waise ap ne ki thi tweet,1
sarkari twitter accounts per dekhay that subah kafi saray,1
likes leay kuch bhe krain gy,1
aap kiska intjar kr rhe yha so jao,1
ohooo allah pak apkii mama ko jannat atta ki hy dnt worry maa khii hoo apny bachon ko dakhtii hy,1
tere sir teri trah hen,1
mard koi moka mis ni,1
ami jan kahti thi koe reply chota ya bara nae hota hahahha rakh leya apka reply hussnain bhai,1
everytime am leaving for isb abba holds my hands and says phir kab aao gi and thats makes me think bhar mein jaae uni mujhe apke paas hi rehna hai,1
rt elastic wali shalwar pehanney waley bhi day ka intezar kr rhey,1
rt bahadur baap ka bahadur beta,1
ouuu mjy to aj pata chla tumhara youtube channel hy,1
suno daro us waqt se jab tum sab ek khuda samney laay jao gy us waqt tum sab apney apney guttnoon bal jhukey hoon gy,1
ustad ye wala scene yes kraoo,1
vicks ki goli lo trush ko door karo,1
phr jhute hn,1
kuch nhi brothermujhy behn ya baji keh diya karo sister mat kaha,1
jazz is really shit network say mn ne raat bjy movie download ki jo gb se bhi shayad zayada thi speed itni axhi mbps de rha tha se min mb download ho gai isi network pe din ko mb ki video download krne mn min lga diye ab aese to nii hotaa,1
ok next time sahi sy kro ga,1
jazak allah aap bhi hmesha khush rhy,1
or supreme court ny nawaz shrif ku na aehal kaha uss bary me kya khyal,1
yeah ryt but innocent ek dafa dekha,1
oh bhai yahodi egandy ko parmoot mat kro,1
uff bizti jai ni ho gi,1
meanwhile pakistan hangs to death shia army officer and pronounces life sentence to sunni army officer for the same alleged offenceand petitions against general bajwa for being ahmadiya,1
ahmaddiya jamaat crictket tournament qadian,1
mily ga to btaa dena ussy kitna pyar krti ho,1
am ma bas mint reh gy hain pgl or abi sab soy hain suba uty gy to faida uta sake gy sab offer ka kisi dil ma armaan na reh jay kahin rat jaldi sony,1
shaheen ni ullu jesi nzr,1
and moreover they are comparing her with qandeel baloch by saying hareems end will be same as qandeels like come on stoppp you are no one to decide someones death plus qandeel is dead so lets just not remember her in bad words,1
phr kyun teri yaadon ny mujhy rula diya,1
guys yaha kuch logon ko boora lag raha kisi ko boora ni bol rahe jo dikh raha hai wahi bol rahe hai sab ghar walon connection unka game strong karte dikh rahe hai efforts dikh rahe hain or ek connection ye hai jo me my self thats it kingasim,1
to aur kon hy dkho twitter walon ko pta chal gya,1
uff tum apni rooh capitalism ko beich chuki ho yeh kya yahoodi propaganda phela rahi ho,1
kahan sa aagya bech,1
tou phir tou aap pe ye theory apply nahi hota na you simply didnt invest time in these characters then and thats ok too thats your choice of lifestyle and its not bad one either however do like investing time and emotions in people and its always rewarding,1
nae ma jab tak charsi say karahi khaa aown ga,1
unka face glow krey ga favourt,1
wo insaan jaisa tha jo tha ab dunya mn nai hai to bra mhrbani us bary mn bury alfaz bolny sy prhaiz kren,1
tum boht achi ho swear,1
arham kon,1
well their yahoodi sazish aur illuminati wali videos are funny,1
fer mzak urau ga to ap ne age se drame shru krdene he,1
pakistanis have no right to speak about minorities you guys cant even take care of your own shias ahmadiyas balochis muhajjirs theres still bombings of shia and ahmadiya mosques to till this date hindu and sikh girls are still converted and raped in we saw gotki,1
baby ahmedi worship place ko jinho nay demolish kia us ka kuch pata kia wo jo pedophile pakra gaya hai us ka case kahan tak pohncha hai,1
apne kya kaha samj nahi ayi,1
sab yahi kehtay hain,1
aap tu ase batain matt karen jis tarah aap apni mulazma par tashudud karti rahin sharam nai atti asi tweet karte huy,1
look bro tu ab new fight na start kar sab shant hai ab to silent hi rehne dei dont want any argue wid koi issue na banana mjhe so plz stay away kingasim,1
ahmaddiya jamaat crictket tournament qadian,1
oh yes but its totally cool to call someone gerneral zia ka beta baigharat yahoodi agent qadiyani agent budha aadmi etc,1
to bibi zarort kia ha aisi tweets ki jin ka positive jwb ap ko nagetive lgy tweets hi aisi kro na jin ka jwb sirf positive hi ho,1
farah matlab khushi jo meri wjh sy dosro ko milti hy allhumdulilah,1
as per constitution of pakistan transgender shemalehijra cant be pm of pakistan so keep crying no one cares,1
ye hey vo auratmarch aur ye hey merajismmerimarzi main is auratmarch ko support karta houn aur apni behno ko salam pesh karta houn,1
adjust kar lo kahin side ma,1
kun aap mingle kero gi,1
nahi roko main to tweet kar ke betati hon saab ko,1
teri koi video dekh tm pay tars ata ha drama baaz,1
zrori to ni phly text py zaleel hoga,1
wahi jo asim kuch dino baad hoga jb wo isse chod degi kisi aur,1
sahi chasma laga hai tendua aur suar me farak nai pata,1
ni smjhana me ne khd smjho,1
neend liye kosish nhi mehnat krni parti,1
babu ji limit cross ker jatay hain baap honey ka yeh muqsed na dikhaya jay ky woh puray muhalay ko pereshan kerain,1
mujhy kiya pata main toh wahan nhi rehtiek bar thi,1
han pucha tha ab jhoot mat,1
soochta hon milo ga khud se jab kiya kaho ga kahan tha itnay,1
sab mila hova ha,1
apko bagne ki zarort nhi hm khod tujhe apne sath baginge,1
swara ko randi kehna unn hajaro orton ka apman hai jo ye kaam mamboori mein karti hain,1
kisan diesel use krtay hain pehlay hi itni cost barh chuki hai mazeed diesel mehnga,1
me akhrot kha lu ga coz us ilawa me koi dry fruit nai khata only akhrot and,1
kis ny latkana ha apki government bysharam batyn ee krty rahogy,1
hen te bigri da ki haal hoe ga,1
gen bajwa the coas is ahmedi moreover the news cjcsc gen nadeem raza is shia so now can know when will india end these cheap propagandas,1
sabah ahmedi and mansoor clarke imams of the ahmadiyya muslim community leave first flower and pray to mourn the victims at london bridge,1
arha hai,1
mil jaay ga kya jaldi hai inshallah,1
shadi kar ln ga,1
aagey jaa kr dekhna main he kaam,1
kon treat,1
whattt second class they get haj subsidy they have their own laws they dont follow any unifrom civil code and can wear what they want they have reservations in univerisities they becoem president hindus dont even care shia sunni or ahmedi,1
ye sanha ab bht over kr rhi ha bhen tu jitna mrji krle mahira itna ni krri jitna tu krri ha bus kr chod de bhen usko championsidshukla,1
kiun ki aap jese kuch logon ko imran khan ki wohi dino wali baat samajh nahin aa rahi thi isliye khatab zaroori thagot it,1
oho actually rat ho gai na to my wapes apney ghar hi gai rasta bhool gai thi,1
main ny tumhain gussa toh nhi kiyamain ny kaha main ab tumhain kiya kahun jab meri apni dost ny esay,1
hello tameez sayahad baray main kuch,1
agr koi dil mang le phr oski tu khair nhi,1
today encountered with nonahmedi girl asked her that what do you think about ahmedis her reply was do drink shezaan,1
mzak kia tha,1
emeen walo say dushmani aur nafrat mien aik tu yahoodi hon gai aur dosray wo jo khula shirkidol worshiping kertay hien surah al maida verse es ayat ko samjho bohat simple hai aur gumrahi say niklo allah hidayat da sub ko,1
bhai kya aap aurat march say agree hain,1
khataa tha badaam akhrot,1
sir plz ap hi hamari umeedo ka sahara hn allah bad mehrbani krn sir cancer ka mareez hy hamara us ly kuch krn dn sir bhooot duain miln gin ap ko ghr akloota beta hy is number pr puch ln sirr plzz kuda ka wasta ap ko,1
hahahaha wo main ny click keye thy khud dekhany leye bt gues dell kar dye thy bad main,1
noi tum first bencher thi topper student,1
hansy mat ab,1
rt mard sath na de to kr legi peda,1
kun tmhry dil ky neechy akhrot latak rhy hain,1
seikh rasheed bula raha ha,1
rt aaree baap re kyya baat hai,1
think oscar goes to yoy for best predictions aj ki prediction ap ki hi sach sabit ho rhi kon sa mantar ha jis se ap ko pata cha jata ha who is going to,1
aword ni award hota ha,1
hahah janab orange for you love,1
insan to apko buht mis krta ha bs apke galio sy dar lgta,1
listen mind your words goli lagna koi choti baat nahi hai chahe jaha mrzi lagi ho,1
ye song khan se ageye btw thanks bear,1
ab khel jammay ga is the best one full stop,1
axha hai qrona virus say bach chahy,1
mai apke liye faroot mai kya laoun,1
zada use nhi krti twitter is liye,1
rt pizza burger kha toh hum bhi tasveer laga dainlakin masha allah jitni fast food hum khatay hain nazar lag jaye,1
kashmiri ko bewaquf banana chur du tu kashmir ka masla hal hu jaea ga,1
raabi my favrit aur aap ko bht bht mubarak naye zindage shuru krny prr,1
fb day gy to dm hoga na,1
kyn tm chalnay se phle hi block krdeti,1
kya huwa yrr btao tu sahi,1
ap ko to lagaya ta khan ny pir kiya nazar aya ta us waqat,1
kbhi nahi in my view point think parent hi wo insan jo apki choti efforts ko appreciate krte shyd kbhi wo esa pretend krte hum kuch krte nhi just to motivate us do more,1
bas bas ab tareef na kri,1
rt din tu na milega tera naam phir bhi ali zafar said it long time ago best song among all anthems of psl,1
achaw bhaya cigrate churwany wala charus pe lga,1
meri likhi bat ko log smjh nahi pattien me ehsas likhti hu log alfaz prhty he,1
to kia wo apni social life ko tbah krde fazol tweet ki ha apne kaam pe ghour kro,1
jb aaye ga imran asian tigers ky khawab sy asian fakeer tk ka safar jeet gaya western mindyahoodihindu sazish imran ya fauj kis kis ki planning thi es qaum ko achey khawab ki saza deny ki,1
were things like this back then too my best friend was an ahmedi we never even felt it,1
tere sir teri trah hen,1
apko ab samajh laggi kyun apko phupho phupho lagai rakhda mai apko dekh apni phupho yaad ajati,1
afsos hai apki soch pr or kuch nhi keh skti allah hadyat dy ameen,1
wohi patwarion wali bat kar di na aap ne,1
oye tum to na hi karo khilany wali baatein toba toba sara mood kharab kar dia,1
tumse to wo bhi nhi bach pa rahi,1
konsa dr pass le gaye thi,1
next time inshallah abi tu meiny copy past kya ab baar baar kn,1
ronaa mat han,1
acha ub me ye sunti hun tb tk ap ye serch kro utube pe twiter notification kese clear hoty,1
sahee footage keliye itni drama karti hein baap re baap aaj bhi dekhe tho bhau air sid baat kar rahe the beech mein ghus gayiaur tel daali arisingh captaincoolshuklaji,1
koi facts naam ki chez hoti hai performance utha dekh lain pata chal jaye ga kitna deserve karti thi sana meer,1
yeh to sab kuch ho chuka ab samjahanein ka kiya faeida,1
maine suna hai aisay pic load karnay say banda popular ho jata ha,1
baadam akhrot khao prabhu ke gun gao,1
main vehari say hokar keh deta hoon yeh biryani ni hai,1
friend sy baat chupany ki kosish,1
walaikum salam,1
ab kiska mazak bana ha,1
maryam apko chakkar nahi atty umar quuunnn maryam sara din mery damaagh mai ghonty rehty rehty hain,1
phr hod bhn bhai hon hy dono college hmare anatomy ki in stages send ups,1
